"program";"beneficient";"project_value";"cofinancing_value";"category";"many_administrative_units";"thumbnailImageUrl";"thumbnailImageUrl_wojewodztwo";"url";"outside_id";"powiat";"thumbnailImageUrl_program";"dzialanie";"fundusz";"perspektywa";"opisProjektu"
"Monitoring atrakcji turystycznych w Świerzawie i Wojcieszowie warunkiem poprawy bezpieczeństwa turystów w subregionie Gór i Pogórza Kaczawskiego";"Gmina Świerzawa";"221628.2";"155139.74";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/700797/";"700797";"złotoryjski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.5. Działania wspierające infrastrukturę turystyczną i kulturową";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Przystanek na szlaku - Jakuby 2011";"Gmina Miejska Zgorzelec";"277815.47";"147214.55";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/693943/";"693943";"zgorzelecki";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Opracowanie i wydanie albumów promujących uzdrowiskowo-kulturowy potencjał Szczawna-Zdroju";"Uzdrowiskowa Gmina Miejska Szczawno-Zdrój";"206948.5";"144863.95";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/673324/";"673324";"wałbrzyski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Podniesienie walorów turystyczno – kulturowych Kościoła Matki Boskiej Wspomożenia Wiernych na Książu Małym we Wrocławiu wraz z jej filią w Trestnie";"Archidiecezja Wrocławska, Rzymsko-Katolicka Parafia p.w. Najświętszej Maryi Panny Wspomożycielki Wiernych we Wrocławiu - Księżu Małym";"349533.62";"142962.98";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/686329/";"686329";"m. Wrocław";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Jeleniogórski Trakt Śródmiejski";"Miasto Jelenia Góra";"200971.7";"139758.97";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/672781/";"672781";"m. Jelenia Góra";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Utworzenie punktu informacji turystycznej w wieży widokowej przy kościele Św. Andrzeja w Środzie Śląskiej";"Gmina Środa Śląska";"231972.34";"138627.7";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/673256/";"673256";"średzki (dolnośląskie)";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Dolnośląski Szlak UNESCO";"Gmina Miasto Świdnica";"209048.0";"133185.0";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/676343/";"676343";"świdnicki (dolnośląskie)";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"„Kompleksowe zabezpieczenie przed kradzieżą Muzeum Uniwersytetu Wrocławskiego”";"Uniwersytet Wrocławski";"247869.65";"127756.31";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/678140/";"678140";"m. Wrocław";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"XXXIX Jeleniogórskie Spotkania Teatralne";"Teatr im.Cypriana Kamila Norwida w Jeleniej Górze";"290517.55";"116625.49";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/655897/";"655897";"m. Jelenia Góra";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Wykonanie monitoringu wizyjnego w Polanicy-Zdroju - II ETAP";"Gmina Polanica-Zdrój";"165408.84";"115777.58";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/700406/";"700406";"kłodzki";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.5. Działania wspierające infrastrukturę turystyczną i kulturową";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Informatyzacja Samorządowego Ośrodka Kultury w Miękini";"Samorządowy Ośrodek Kultury w Miękini";"165610.66";"113345.39";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/676383/";"676383";"średzki (dolnośląskie)";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Digitalizacja i upowszechnianie zasobów Filharmonii im. Witolda Lutosławskiego we Wrocławiu";"Filharmonia im. Witolda Lutosławskiego";"186739.33";"104357.38";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/677371/";"677371";"m. Wrocław";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Podniesienie poziomu bezpieczeństwa turystów w Gminie Miejskiej Nowa Ruda poprzez rozbudowę monitoringu miejskiego";"Gmina Miejska Nowa Ruda";"153934.47";"101783.99";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/714588/";"714588";"kłodzki";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.5. Działania wspierające infrastrukturę turystyczną i kulturową";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Opracowanie i rozpowszechnienie materiałów promujących produkt kulturowy Bolkowa i regionu dolnośląskiego: Bolków – Rycerska Gmina.";"Gmina Bolków";"155615.98";"100259.99";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/672442/";"672442";"jaworski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Rozwój wielokulturowej działalności i promocja turystyki lokalnej dzięki informatyzacji Świdnickiego Ośrodka Kultury";"Świdnicki Ośrodek Kultury";"188505.94";"96776.31";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/709638/";"709638";"świdnicki (dolnośląskie)";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Wprowadzenie e-usług do oferty turystycznej Gminy Bielawa";"Gmina Bielawa";"142257.09";"96692.86";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/658485/";"658485";"dzierżoniowski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.5. Działania wspierające infrastrukturę turystyczną i kulturową";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Informatyzacja Samorządowego Ośrodka Kultury w Miękini - etap II";"Samorządowy Ośrodek Kultury w Miękini";"129095.7";"87051.44";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/706920/";"706920";"średzki (dolnośląskie)";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Informatyzacja Miejskiej Biblioteki Publicznej w Bielawie";"Miejski Ośrodek Kultury i Sztuki w Bielawie";"124780.46";"84320.78";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/701957/";"701957";"dzierżoniowski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Informatyzacja Wołowskiego Ośrodka Kultury";"Wołowski Ośrodek Kultury";"113200.25";"79240.18";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/694869/";"694869";"wołowski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Kryształowy weekend - odbudowa śląskich tradycji szklarskich";"Gmina Miejska Piechowice";"213211.5";"78877.88";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/694266/";"694266";"jeleniogórski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Informatyzacja Miejskiej Biblioteki Publicznej w Jaworze";"Miejska Biblioteka Publiczna w Jaworze";"119989.1";"77874.23";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/710238/";"710238";"jaworski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Rozbudowa monitoringu Miasta Złotoryi – jako elektronicznego systemu służącego bezpieczeństwu turystów w Złotoryi.";"Gmina Miejska Złotoryja";"105859.01";"74101.31";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/706526/";"706526";"złotoryjski";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.5. Działania wspierające infrastrukturę turystyczną i kulturową";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Digitalizacja i upowszechnienie zasobów archiwum Niezależnej Agencji Fotograficznej Dementi poprzez Ośrodek Pamięć i Przyszłość we Wrocławiu";"Ośrodek ""Pamięć i Przyszłość""";"154915.31";"73499.77";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/695868/";"695868";"m. Wrocław";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Digitalizacja i upowszechnianie zasobów Międzynarodowego Festiwalu Wratislavia Cantans";"Międzynarodowy Festiwal Wratislavia Cantans";"141148.96";"72450.36";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/677457/";"677457";"m. Wrocław";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Informatyzacja Miejsko-Gminnej Biblioteki A. Kamińskiego wraz z 4 filiami";"Zespół Placówek Kultury w Żmigrodzie";"97258.44";"67548.91";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/704785/";"704785";"trzebnicki";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Modernizacja infrastruktury IT Zakładu Narodowego im. Ossolińskich.";"Zakład Narodowy im. Ossolińskich";"115233.78";"65230.2";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/700631/";"700631";"m. Wrocław";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Modernizacja Centrum Informacji Turystycznej i Kulturalnej w Wałbrzychu wraz z niezbędnym wyposażeniem na cele prowadzenia punktu informacji turystycznej";"Gmina Wałbrzych";"108645.27";"58600.61";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/656996/";"656996";"m. Wałbrzych";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Rozszerzenie oferty turystycznej i kulturalnej regionu poprzez promocję pocysterskiego kompleksu klasztornego w Henrykowie";"Archidiecezja Wrocławska";"127586.79";"56839.86";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/679215/";"679215";"ząbkowicki";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Punkt Informacji Turystycznej - Galeria Satyrykon";"Legnickie Centrum Kultury im. H. Karlińskiego";"179037.72";"51392.0";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/667170/";"667170";"m. Legnica";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.4. Turystyka kulturowa";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Wykonanie strony internetowej wraz z pakietem e-usług dla Filharmonii Sudeckiej w Wałbrzychu";"Filharmonia Sudecka w Wałbrzychu";"90107.29";"18416.2";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/712919/";"712919";"m. Wałbrzych";"Regionalny Program Operacyjny Województwa Dolnośląskiego";"6.5. Działania wspierające infrastrukturę turystyczną i kulturową";"Europejski Fundusz Rozwoju Regionalnego";"2007 - 2013";""
"Budowa Kąpieliska otwartego wraz z budynkiem zaplecza w Twardogórze";"Gmina Twardogóra";"9483300.0";"7035945.41";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/584234/";"584234";"oleśnicki";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Budowa kompleksu sportowo rekreacyjnego przy zbiegu ulic Kazimierza Wielkiego i Rudnowskiej w Głogowie";"Głogowskie Obiekty Sportowe Sp. z o.o.";"41513665.92";"5972733.45";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/584233/";"584233";"";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Uzdrowiskowy Szlak Turystyczno Rekreacyjny w Jedlinie Zdroju";"Gmina Jedlina Zdrój";"5928680.42";"3349451.65";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/553225/";"553225";"wałbrzyski";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Rewaloryzacja zabytkowego Pałacu Biskupów wraz z otoczeniem na Ostrowie Tumskim";"Kuria Metropolitalna Wrocławska Kościoła Rzymsko-Katolickiego";"4708008.03";"3156875.27";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/547660/";"547660";"wrocławski";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Utworzenie regionalnego centrum rekreacyjno-rehabilitacyjnego w Aquapark Polkowice";"AQUAPARK Polkowice S.A.";"14923782.0";"2699121.2";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/549999/";"549999";"polkowicki";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Renowacja kompleksu pałacowo-parkowego Zamek Książ w Wałbrzychu";"Gmina Wałbrzych";"4314847.9";"2601566.82";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/547659/";"547659";"wałbrzyski";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Promocja turystyki biznesowej jako markowego produktu Wrocławia i Dolnego Sląska";"Miasto Wrocław";"1469076.86";"1053379.31";"kultura i sztuka, turystyka";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/549998/";"549998";"m. Wrocław";"Zintegrowany Program Operacyjny Rozwoju Regionalnego";"1.4. Rozwój turystyki i kultury";"Europejski Fundusz Rozwoju Regionalnego";"2004 - 2006";""
"Przebudowa budynku byłej szkoły na salę wielofunkcyjną w miejscowości Grodziszcze";"STOSZOWICE";"917636.0";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554276/";"554276";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Centrum Inicjatyw Wiejskich w Ścinawce Górnej";"RADKÓW";"992385.89";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554278/";"554278";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Stworzenie centrum kulturalno – sportowego w Uciechowie Szansą rozwoju wsi";"DZIERŻONIÓW";"1198823.3";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554279/";"554279";"dzierżoniowski";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Budowa budynku użyteczności publicznej z biblioteką, świetlicą i zapleczem lokalnych organizacji";"MIRSK";"807136.4";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554295/";"554295";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Odnowa wsi Pogorzała";"ŚWIDNICA";"955584.16";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554299/";"554299";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Zagospodarowanie terenów rekreacyjnych w Przewornie i modernizacja Gminnego Ośrodka Kultury";"PRZEWORNO";"727328.93";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554305/";"554305";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Modernizacja Domu Kultury w Ruszowie, kształtowanie przestrzeni publicznej w centrum Ruszowa.";"WĘGLINIEC";"911659.04";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554307/";"554307";"zgorzelecki";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Adaptacja budynku byłego kina na Gminny Ośrodek Kultury w Kondratowicach";"KONDRATOWICE";"940868.42";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554308/";"554308";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Budowa auli przy SP w Sokołowicach";"OLEŚNICA";"885174.5";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554320/";"554320";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Budowa wielofunkcyjnej świetlicy wiejskiej w Starym Jaworowie";"JAWORZYNA ŚLĄSKA";"754110.27";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554326/";"554326";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Budowa chodnika z odwodnieniem wzdłuż drogi powiatowej w Piotrkowiczkach, gmina Wisznia Mała";"WISZNIA MAŁA";"751403.85";"450000.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554330/";"554330";"trzebnicki";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
"Pawilon szatniowo -sanitarny z salą na 50 osób- Świetlica wiejska przy boisku sportowym w Raszowie";"KAMIENNA GÓRA";"778749.26";"443712.0";"kultura i sztuka, rewitalizacja";"NIE";"https://mapadotacji.gov.pl/wp-content/themes/mapa-dotacji/img/projects/thumb2.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/554303/";"554303";"";"Restrukturyzacja i modernizacja sektora żywnościowego oraz rozwój obszarów wiejskich";"2.3. Odnowa wsi oraz zachowanie i ochrona dziedzictwa kulturowego";"Europejski Fundusz Orientacji i Gwarancji Rolnej";"2004 - 2006";""
